Country,Count,Mean_Health_Expenditure,Median_Health_Expenditure,SD_Health_Expenditure,Var_Health_Expenditure,Suicide_Rate_N,Mean_Suicide_Rate,Median_Suicide_Rate,SD_Suicide_Rate,Var_Suicide_Rate
Cyprus,10.0,1883.2817016999998,1931.3997195000002,236.24410411902628,55811.27673100133,10.0,4.395257892144664,4.62445676727811,1.10016421526846,1.2103613005572667
Czech Republic,10.0,1357.324939,1414.8244020000002,195.54887810059537,38239.36372640151,10.0,14.958346700959734,14.838660218181571,0.9785380448289647,0.9575367051776928
Denmark,10.0,5898.9781739,6074.656494000001,505.68683411579633,255719.1741980569,10.0,11.602766552723725,11.595210333033931,0.7039462468224167,0.49554031841536683
Ecuador,10.0,374.94603576,371.2595367,140.54049117884696,19751.629660791557,10.0,6.766651449679851,7.128184119400032,1.0021081058651515,1.0042206558406417
Estonia,10.0,988.3353758700001,1014.0054015000001,177.8409353785816,31627.398296328836,10.0,18.63707860097613,19.040393557944995,1.5701789049508792,2.465461793552742
Finland,10.0,4178.4812013,4243.321777499999,409.6056512889659,167776.7895678579,10.0,18.283984043069538,18.386187454256007,2.389509233038542,5.709754374776441
Germany,10.0,4650.6284181,4639.468505999999,462.72483621699547,214114.27405204528,10.0,12.608549440058425,12.703375200398401,0.4417453473146671,0.19513895187415584
Greece,10.0,2208.6976806,2208.944824,470.43237369453584,221306.6182198754,10.0,4.237742779514139,4.078188651194827,0.8451928636634765,0.7143509767876679
Guatemala,10.0,187.74965211,182.01052095,27.89577502661834,778.1742643357035,10.0,3.2784530562259926,3.2424119149169734,0.5575810489574387,0.3108966261564776
Hungary,10.0,983.2339478199999,986.8710022,73.1989129184241,5358.080852439034,10.0,24.19912443165977,25.54002391020159,2.4084769429560424,5.800761184750883
Iceland,10.0,4380.332934600001,4156.1767580000005,787.0418481790617,619434.8707851132,10.0,12.995681696398567,12.786492826164658,2.0756996101591776,4.308528871614962
Israel,10.0,2257.1001221,2293.8352050000003,392.9977781392356,154447.25362237587,10.0,5.6060539892167185,5.592710211855408,0.6896323243283135,0.4755927427584721
Italy,10.0,3155.5222169,3192.820801,238.34444462303307,56808.07428266208,10.0,7.021502579877935,6.924980084762617,0.3230826363323661,0.10438238989947192
Japan,10.0,3895.4487548999996,3896.9317629999996,850.8474930621435,723941.4564501343,10.0,23.122013502279934,24.03448899904022,2.246675316043797,5.047549975720496
