country,year,"number of suicides (per 100,000 people)",health expenditure (per capita)
Brunei Darussalam,2010,1.3192612137203164,803.4937744
Brunei Darussalam,2011,1.2899896800825592,876.434082
Brunei Darussalam,2012,2.1697857336588013,881.9977417000001
Brunei Darussalam,2013,1.0713491768020764,846.6196899
Brunei Darussalam,2014,1.3204597312600348,795.0393677000001
Brunei Darussalam,2015,1.8225369714642785,739.2253417999999
Chile,2006,11.90982030038491,572.4163818
Chile,2007,12.121661336655858,650.0742187999999
Chile,2008,13.544667335380556,726.7156982000001
Chile,2009,13.78323577373394,738.4604492000001
Chile,2010,12.703268968199358,871.2634277000001
Chile,2011,12.739787853306778,995.8383179
Chile,2012,11.452390125016429,1083.46167
Chile,2013,10.700491877846435,1186.80249
Chile,2014,10.903970879997992,1154.848267
Chile,2015,11.095198067093351,1140.1347660000001
Colombia,2006,5.482429079226917,233.5850525
Colombia,2007,5.4152423205482805,301.59884639999996
Colombia,2008,5.433302310482439,369.0353394
Colombia,2009,5.427624795369014,374.1268005
Colombia,2010,5.017968590565036,441.30178830000006
Colombia,2011,4.805080973489658,489.4076843
Colombia,2012,4.921513130011745,533.7362061000001
Colombia,2013,4.7489685575568314,585.8063965
Colombia,2014,4.8294254210413925,569.8972778
Colombia,2015,5.241577025098006,444.0635681
Croatia,2006,18.79598937034852,816.0170287999999
Croatia,2007,18.317810466206005,1041.034424
Croatia,2008,18.76664119483631,1258.872437
Croatia,2009,18.737918193569808,1187.545288
Croatia,2010,18.45877330509332,1126.373657
Croatia,2011,16.75806016143598,1132.498901
Croatia,2012,19.140191046731665,1029.971191
Croatia,2013,17.109836994187354,889.9445189999999
Croatia,2014,17.913623583657614,909.3716431
Croatia,2015,18.46729452136096,795.520813
Cuba,2006,12.915775812919495,386.2203369
Cuba,2007,12.24009350794618,568.6090088
Cuba,2008,12.876603239966581,608.3035888999999
Cuba,2009,13.793129209962805,674.1086426
Cuba,2010,14.525658017902172,606.6707153
Cuba,2011,14.225857491704998,692.5626831000001
Cuba,2012,13.880461834068596,597.574585
Cuba,2013,13.889030445607164,705.1513062000001
Cuba,2014,13.437018161984223,856.0169066999999
Cuba,2015,13.949321588453836,974.9695435000001
Cyprus,2006,2.663205434060436,1474.02063
Cyprus,2007,2.6078625683877643,1694.2718510000002
Cyprus,2008,5.488371345882517,2155.246582
Cyprus,2009,4.171152828432664,2105.477783
Cyprus,2010,4.827965609638652,1959.2872309999998
Cyprus,2011,3.746160185809545,2153.427246
Cyprus,2012,4.4209479249175665,1943.19397
Cyprus,2013,5.534946421718638,1919.605469
Cyprus,2014,5.4670745435614005,1846.177368
Cyprus,2015,5.024892059037457,1582.1088869999999
Czech Republic,2006,14.314461522165074,942.118042
Czech Republic,2007,14.045208460328395,1110.176636
Czech Republic,2008,13.9298641944306,1449.336792
Czech Republic,2009,14.7322133429777,1442.242798
Czech Republic,2010,15.102652285161007,1373.931763
Czech Republic,2011,16.050363010757387,1516.55542
Czech Republic,2012,16.70844281243201,1387.4060060000002
Czech Republic,2013,15.870332240423961,1554.509033
Czech Republic,2014,14.945107093385444,1512.9261470000001
Czech Republic,2015,13.884822047535744,1284.0467529999999
Denmark,2006,12.719011595825036,4778.891602000001
Denmark,2007,11.318914607653493,5468.379395
Denmark,2008,11.680330845855467,6137.776367
Denmark,2009,11.978146622528547,6221.688965
Denmark,2010,10.79001913647266,6011.536621
Denmark,2011,11.23156278901252,6281.004395
Denmark,2012,12.541411798679414,6003.832031
Denmark,2013,11.510089820212395,6236.554199
Denmark,2014,11.780866150256422,6380.78418
Denmark,2015,10.477312160741288,5469.333984000001
Ecuador,2006,7.229279158936023,190.5664978
Ecuador,2007,7.927521784119937,210.59259029999998
Ecuador,2008,7.1920238595391535,248.6487732
Ecuador,2009,7.341874939690381,274.0058899
Ecuador,2010,6.826201686565818,331.6893005
Ecuador,2011,6.758172916909148,410.82977289999997
Ecuador,2012,7.06434437926091,483.5228577
Ecuador,2013,4.809808708357888,519.93396
Ecuador,2014,5.134610386953053,551.4692993
Ecuador,2015,7.382676676466203,528.201416
Estonia,2006,19.313245993674325,600.5078735000001
Estonia,2007,19.757323394323898,832.7330933
Estonia,2008,19.145493886495704,1038.5622560000002
Estonia,2009,21.365993915854517,963.0196533
Estonia,2010,17.779903924734395,926.4541626
Estonia,2011,17.447998162357624,1014.639282
Estonia,2012,18.935293229394286,1013.3715210000001
Estonia,2013,17.536859582847992,1144.321533
Estonia,2014,19.4064993252014,1237.278442
Estonia,2015,15.682174594877155,1112.465942
Finland,2006,21.326414632089225,3286.428955
Finland,2007,19.90456610746505,3774.7775880000004
Finland,2008,20.57729573298997,4315.478515999999
Finland,2009,20.50644981393471,4179.838379
Finland,2010,18.840745145545746,4099.587890999999
Finland,2011,17.931629762966267,4548.829102000001
Finland,2012,17.082644385523786,4411.17627
Finland,2013,17.27215601878167,4306.805176
Finland,2014,15.290863621775738,4739.988281
Finland,2015,14.107075209623225,4121.901855
Germany,2006,12.400259731844349,3684.4262700000004
Germany,2007,11.943904397480544,4166.760742
Germany,2008,12.024745270600565,4635.934082
Germany,2009,12.210542642939641,4643.00293
Germany,2010,12.80168403281688,4597.244629
Germany,2011,12.955024005010008,5021.630859000001
Germany,2012,12.605066367979925,4754.655761999999
Germany,2013,13.059235116807358,5094.416015999999
Germany,2014,13.174323533559624,5290.722168
Germany,2015,12.910709301545346,4617.490723
Greece,2006,3.7103686251229058,2063.880371
Greece,2007,3.0787740959832233,2439.315674
Greece,2008,3.4903122313547383,2847.825195
Greece,2009,3.6475180365569,2816.13623
Greece,2010,3.5117514194182533,2573.740234
Greece,2011,4.4460086772667475,2354.009277
Greece,2012,4.8198248885510395,1968.480469
Greece,2013,5.109627391207359,1834.3350829999997
Greece,2014,5.4428730971498895,1724.528687
Greece,2015,5.120369332530335,1464.725586
Guatemala,2006,2.614692430570704,148.713913
Guatemala,2007,2.792867375440037,158.3343964
Guatemala,2008,4.088794998040786,174.77963259999999
Guatemala,2009,4.134322604186346,168.18542480000002
Guatemala,2010,2.7755543992497804,173.75178530000002
Guatemala,2011,2.7578594769961486,189.24140930000002
Guatemala,2012,3.1495059212586023,198.4628448
Guatemala,2013,3.3353179085753446,213.023941
Guatemala,2014,3.6709903571974,219.1398926
Guatemala,2015,3.4646250907447733,233.8632813
Hungary,2006,25.659178134751862,893.2030028999999
Hungary,2007,25.59297887440617,1003.2581789999999
Hungary,2008,25.919145664761185,1117.202271
Hungary,2009,25.801750050895535,943.6876831000001
Hungary,2010,26.161432540764903,983.1108398
Hungary,2011,25.487068945997013,1063.432251
Hungary,2012,24.84877841649281,961.1383667000001
Hungary,2013,22.175487394316637,990.6311645999999
Hungary,2014,20.45090147573705,1006.156494
Hungary,2015,19.89452281847452,870.5192261
Iceland,2006,11.307460450390284,5071.734375
Iceland,2007,12.771303915612746,6085.145996
Iceland,2008,12.80168173671657,4945.617188
Iceland,2009,12.153785904309194,3693.2763670000004
Iceland,2010,15.613332428212614,3644.8027340000003
Iceland,2011,9.13782891953634,3867.376953
Iceland,2012,12.447937343139166,3706.8093259999996
Iceland,2013,16.308544345927526,4030.777832
Iceland,2014,14.451246748469481,4476.212890999999
Iceland,2015,12.963695171671732,4281.575684
Israel,2006,5.793683306535574,1576.017212
Israel,2007,5.0551930944201535,1780.092896
Israel,2008,5.391737117175242,2121.681152
Israel,2009,6.001335445684573,2017.15918
Israel,2010,7.007478293241067,2211.019043
Israel,2011,5.866747376280125,2410.748291
Israel,2012,6.060298561313312,2376.6513670000004
Israel,2013,5.148070691313931,2648.820557
Israel,2014,5.185812269251718,2788.5002440000003
Israel,2015,4.5501837369514835,2640.311279
Italy,2006,6.585894878580307,2830.181885
Italy,2007,6.639735649095925,3088.470215
Italy,2008,6.847942437992049,3489.98584
Italy,2009,6.929159889056723,3324.373535
Italy,2010,6.920800280468511,3214.5463870000003
Italy,2011,7.336140380058001,3387.5756840000004
Italy,2012,7.495366896624946,3125.611572
Italy,2013,7.460437378836367,3195.553467
Italy,2014,7.137610584771854,3190.088135
Italy,2015,6.861937423294664,2708.8354489999997
Japan,2006,24.663220162052003,2754.157471
Japan,2007,25.405123276776248,2772.455566
Japan,2008,24.93573904247027,3213.3989260000003
Japan,2009,25.33113132386137,3685.825439
Japan,2010,24.281072898309514,4060.190186
Japan,2011,23.787905099770928,5087.102051
Japan,2012,21.814718184453557,5212.069824
Japan,2013,21.56678892078929,4336.149902
Japan,2014,20.251259623858854,4099.464844
Japan,2015,19.183176490457303,3733.67334
Kazakhstan,2006,29.03614529926464,175.4342041
Kazakhstan,2007,29.315556444091676,178.9144897
Kazakhstan,2008,28.11610226833004,254.3148804
Kazakhstan,2009,26.70724014631225,249.30599980000002
Kazakhstan,2010,24.52904938821125,247.4310608
Kazakhstan,2011,22.89719154264863,310.8926392
Kazakhstan,2012,21.566142593870463,376.0975342
Kazakhstan,2013,23.08190487757717,394.0064392
Kazakhstan,2014,20.215383602297106,342.9827576
Kazakhstan,2015,18.355247146500442,316.4008484
Latvia,2006,23.023664261079844,552.3015747000001
Latvia,2007,21.634498285000372,807.0426025
Latvia,2008,25.489364357162586,913.5214844000001
Latvia,2009,25.414763022110844,744.6616211
Latvia,2010,22.033234971874922,689.0772095
Latvia,2011,22.522395707231368,764.5917357999999
Latvia,2012,22.98706563376738,745.5174561000001
Latvia,2013,20.02652076065223,807.1300049
Latvia,2014,20.16851799934637,855.6263428
Latvia,2015,20.63425542329016,775.5520019999999
Lithuania,2006,33.55976309174676,536.0573730000001
Lithuania,2007,33.19443486393682,704.2931518999999
Lithuania,2008,36.381426675870635,936.5093383999999
Lithuania,2009,37.72587872621785,864.7363892000001
Lithuania,2010,34.511551368816946,805.2244873
Lithuania,2011,35.349615685784286,925.4716187000001
Lithuania,2012,32.6664951705036,896.9370728
Lithuania,2013,38.658503605929816,958.9271851
